weather_station,name,field,farm,latitude_ws,longitude_ws,latitude_field,longitude_field,province,location,city,species,variety
2382,Sasso Marconi Arpa,5-1,5,44.43967,11.24125,44.460924,11.244618,Bologna,Tizzano,Casalecchio di Reno,Vite da vino,Chardonnay
2147,Rolo,4-1,4,44.88542,10.87451,44.875287,10.835891,Reggio Emilia,Fabbrico,Fabbrico,Vite da vino,Malbo Gentile
2341,Sant'Apollinare Cmt,2-1,2,45.0334,11.82597,45.007509,11.751587,Rovigo,Arquà Polesine,Arquà Polesine,Frumento Duro,Cesare
2262,S Pietro Capofiume,1-1,1,44.65378,11.62264,44.60427,11.560234,Bologna,Dugliolo,Budrio,Frumento Duro,Cesare
1325,Macerata Montalbano,3-1,3,43.29223,13.4187,43.234749,13.351375,Macerata,Rancia,Tolentino,Frumento Duro,Cesare
