id_azienda,Provincia,Località,Comune
1,Bologna,Dugliolo,Budrio
2,Rovigo,Arquà Polesine,Arquà Polesine
3,Macerata,Rancia,Tolentino
4,Reggio Emilia,Fabbrico,Fabbrico
5,Bologna,Tizzano,Casalecchio di Reno
6,,,
