id_azienda,Provincia,Località,Comune
7,Bologna,Vedrana di budrio,Budrio
8,Rovigo,Fenil del turco,Rovigo
9,Grosseto,Alberese,Grosseto
4,Reggio Emilia,Fabbrico,Fabbrico
10,Bologna,Casalfiumanese,Casalfiumanese
6,Ferrara,Lagosanto,Lagosanto
