id-azienda,id_campo,Coordinate GPS
1,1,"44°36'18.5""N 11°33'38.7""E"
2,1,"45°00'27.9""N 11°45'08.8""E"
3,1,"43°14'06.7""N 13°21'04.5""E"
4,1,"44°51'21.2""N 10°48'06.5""E"
5,1,"44°27'37.4""N 11°14'39.1""E"
6,1,"44°44'58.9""N 12°08'13.1""E"
