"station_id","name","name_raw","network","geom","elevation_m","active_from","active_to","country","region","province","city","toponym","street","farm","created_at","updated_at","longitude","latitude"
1325,"Macerata Montalbano","Macerata Montalbano","dpcn-marche","0101000020E61000009FABADD85FD62A407E74EACA67A54540","0.00",NULL,NULL,"Italy",NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-12 15:45:19.809223+00","2025-10-27 14:11:55.53135+00","13.418700","43.292230"
2147,"Rolo","Rolo","locali","0101000020E6100000C80C54C6BFBF2540B79C4B7155714640","20.00",NULL,NULL,"Italy",NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-12 15:46:23.938545+00","2025-10-27 14:13:05.495575+00","10.874510","44.885420"
2262,"S Pietro Capofiume","S. Pietro Capofiume","locali","0101000020E6100000E65C8AABCA3E2740B2632310AF534640","10.00",NULL,NULL,"Italy",NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-12 15:46:33.070007+00","2025-10-27 14:13:15.170361+00","11.622640","44.653780"
2341,"Sant'Apollinare Cmt","Sant'Apollinare CMT","dpcn-veneto","0101000020E610000049F4328AE5A62740DCD7817346844640","5.00",NULL,NULL,"Italy",NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-12 15:46:39.269325+00","2025-10-27 14:13:21.807337+00","11.825970","45.033400"
2382,"Sasso Marconi Arpa","Sasso Marconi Arpa","locali","0101000020E6100000EC51B81E857B26402384471B47384640","275.00",NULL,NULL,"Italy",NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-12 15:46:42.46039+00","2025-10-27 14:13:25.238709+00","11.241250","44.439670"

