id-azienda,id_campo,Coordinate GPS
1,1,"44,604270 N - 11,560234 E"
2,1,"45,007509 N - 11,751587 E"
3,1,"43,234749 N - 13,351375 E"
4,1,"44,875287 N - 10,835891 E"
5,1,"44,460924 N - 11,244618 E"
6,1,
