id-azienda,id_campo,Coordinate GPS
7,2,"44°33'49.2""N 11°32'41.0""E"
8,2,"45°01'48.0""N 11°51'26.1""E"
9,2,"42°41'39.4""N 11°06'02.6""E"
4,2,"44°53'02.3""N 10°47'26.3""E"
10,2,"44°18'19.6""N 11°37'48.5""E"
6,2,"44°44'59.9""N 12°08'12.9""E"
